Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Harapan Hidup (tahun),Stunting (%)
5,0.67,28.39,37.94,16.45,27.3,6.91,0.93,67.12,37.0
4,1.1,26.21,38.97,3.32,33.59,7.3,1.7,67.2,31.7
5,0.83,28.08,40.31,2.47,20.85,7.88,2.06,64.88,40.1
5,0.37,17.92,30.74,11.65,30.32,8.33,2.21,67.46,38.5
5,0.8,12.91,34.92,4.38,43.45,7.77,1.82,67.25,28.1
4,0.38,34.27,45.21,15.54,54.44,7.03,3.93,68.42,34.0
3,0.56,28.18,69.93,24.14,73.78,6.74,1.4,68.57,44.0
4,0.59,26.5,51.56,10.8,48.6,7.54,1.39,68.07,42.9
3,1.36,30.13,59.12,6.08,57.59,6.99,1.0,60.66,33.9
5,0.57,16.33,41.11,8.25,60.45,7.41,1.49,65.01,31.4
6,0.0,9.17,6.02,0.03,11.1,11.73,0.06,69.73,26.1
5,0.72,7.66,19.95,0.25,90.9,6.44,4.67,69.08,32.6
5,0.9,5.18,18.81,0.0,70.28,7.28,4.05,71.18,29.7
5,1.62,4.55,17.19,7.64,47.68,7.47,10.83,71.42,26.2
5,0.87,10.13,22.03,5.69,56.5,7.44,14.63,71.11,23.6
4,2.08,9.28,24.59,7.15,46.92,6.99,11.56,71.84,38.2
5,1.92,8.93,22.39,1.34,39.76,7.28,22.83,72.53,28.9
6,0.59,6.48,16.46,3.4,47.33,7.47,3.94,73.84,26.8
6,0.42,10.99,29.38,7.38,53.18,6.98,8.68,73.04,27.8
5,0.98,6.26,38.3,10.5,61.07,6.79,7.02,72.05,26.5
3,3.38,12.01,27.57,5.5,44.73,7.15,13.23,72.98,37.2
5,0.49,9.33,21.5,0.84,61.91,6.39,10.13,68.48,24.5
5,1.17,4.34,18.41,0.27,87.95,7.21,4.91,70.69,40.3
5,0.0,4.58,8.84,0.0,57.07,10.63,0.03,73.12,24.4
5,0.0,4.83,9.01,0.48,44.32,8.12,0.3,72.18,22.3
4,5.0,3.95,10.82,0.03,13.15,8.78,9.79,70.68,23.4
6,1.42,5.91,18.46,0.52,27.79,8.31,10.19,69.9,32.5
6,0.41,5.35,31.06,0.75,50.21,7.65,9.37,68.78,25.0
4,3.28,4.62,24.72,1.06,32.29,9.1,11.02,67.19,31.4
6,0.69,5.61,12.68,3.05,28.92,9.15,9.2,71.3,28.3
6,0.83,5.25,31.24,1.72,29.92,8.84,22.07,65.87,29.3
4,3.43,7.22,23.13,0.4,31.78,8.06,20.69,69.26,29.3
4,4.82,3.66,13.7,1.97,20.25,8.53,9.62,71.56,24.7
5,1.99,3.56,19.56,4.52,26.77,8.38,10.58,69.39,23.2
3,5.0,5.35,20.72,1.6,38.21,9.42,13.52,70.46,35.9
6,0.31,4.24,24.79,0.47,52.3,7.99,14.49,68.1,24.6
2,5.0,6.15,22.24,9.88,58.69,7.87,27.15,69.53,31.8
6,1.02,6.38,10.47,0.57,24.31,9.41,5.4,68.31,33.7
6,0.0,3.75,8.93,0.0,5.35,11.57,1.04,73.24,25.2
6,0.46,4.57,17.97,0.32,37.32,7.82,2.76,69.59,31.0
6,1.46,4.86,23.65,0.55,28.69,7.63,8.64,69.32,21.8
6,0.6,3.04,31.59,0.15,27.75,7.73,2.27,67.41,40.2
6,0.25,5.11,32.42,0.68,32.61,8.04,3.73,66.27,32.4
6,0.29,3.6,27.02,0.47,25.02,7.58,3.33,70.57,33.5
6,0.41,4.84,30.46,0.0,38.33,7.41,1.52,66.12,29.1
